URL,Referring Domains,Backlinks
https://example.com/compare/credit-cards-3,23,184
https://example.com/compare/solar-panels-6,6,66
https://example.com/guides/meal-prep-8-2023,5,35
https://example.com/guides/solar-panels-15,2,24
https://example.com/blog/tax-filing-16,5,10
https://example.com/guides/home-office-18,16,32
https://example.com/blog/email-marketing-20,3,21
https://example.com/blog/home-office-23,4,32
https://example.com/help/meal-prep-25-2023,2,24
https://example.com/resources/meal-prep-27-2024,1,5
https://example.com/help/meal-prep-29.pdf,3,30
https://example.com/help/tax-filing-31,31,341
https://example.com/help/running-shoes-32,3,33
https://example.com/help/solar-panels-33-2024,59,118
https://example.com/news/yoga-34,5,50
https://example.com/help/home-office-35-2024,2,14
https://example.com/compare/meal-prep-36,5,30
https://example.com/resources/web-hosting-39-2023,4,48
https://example.com/guides/credit-cards-40,4,48
https://example.com/guides/credit-cards-41-2023,2,20
https://example.com/news/meal-prep-42,20,200
https://example.com/blog/meal-prep-44,1,6
https://example.com/news/home-office-48-2024.pdf,30,90
https://example.com/products/meal-prep-50-2023.pdf,3,6
https://example.com/products/running-shoes-51,5,45
https://example.com/compare/email-marketing-58-2024,34,68
https://example.com/guides/web-hosting-66-2023,44,528
https://example.com/resources/credit-cards-79-2024,2,12
https://example.com/news/running-shoes-81-2024,26,234
https://example.com/help/solar-panels-84-2023.pdf,3,33
https://example.com/compare/meal-prep-88,46,552
https://example.com/blog/home-office-92,3,9
https://example.com/resources/solar-panels-100,5,55
https://example.com/resources/home-office-103,4,40
https://example.com/news/credit-cards-110,2,8
https://example.com/news/yoga-117,4,36
https://example.com/guides/solar-panels-118,58,116
https://example.com/resources/vpn-119,3,27
https://example.com/blog/solar-panels-126,57,171
https://example.com/products/web-hosting-127-2024,47,517
https://example.com/help/web-hosting-129,49,343
https://example.com/resources/meal-prep-145-2024,5,45
https://example.com/resources/solar-panels-146,1,3
https://example.com/compare/credit-cards-148,9,36
https://example.com/resources/credit-cards-149-2024,50,600
https://example.com/resources/yoga-158-2024,52,312
https://example.com/blog/yoga-163,37,185
https://example.com/help/email-marketing-167,1,8
https://example.com/resources/solar-panels-172,1,2
https://example.com/help/home-office-173-2023,5,55
https://example.com/guides/email-marketing-178,4,16
https://example.com/guides/credit-cards-187-2024,4,24
https://example.com/help/meal-prep-188,4,40
https://example.com/blog/running-shoes-193-2023,3,6
https://example.com/help/vpn-194-2024,22,264
https://example.com/products/solar-panels-195,4,32
https://example.com/help/yoga-196,43,258
https://example.com/products/email-marketing-203,2,6
https://example.com/resources/vpn-208,4,16
https://example.com/blog/meal-prep-209,4,28
https://example.com/news/running-shoes-213-2023,55,385
https://example.com/news/vpn-216-2023,5,60
https://example.com/news/running-shoes-223,16,48
https://example.com/compare/tax-filing-227,1,8
https://example.com/compare/solar-panels-228,2,6
https://example.com/guides/running-shoes-230,3,36
https://example.com/help/solar-panels-233,2,16
https://example.com/news/meal-prep-234.pdf,5,55
https://example.com/compare/email-marketing-235-2023,3,36
https://example.com/guides/meal-prep-238-2023,5,20
https://example.com/resources/home-office-245-2023,11,110
https://example.com/news/yoga-248-2023,4,24
