Page path,Default channel group,Sessions,Engagement rate,Conversions,Total revenue
https://example.com/compare/email-marketing-0,Referral,395,0.49,14,4827
https://example.com/products/running-shoes-1,Direct,309,0.76,14,4392
https://example.com/blog/web-hosting-2,Direct,405,0.31,11,1716
https://example.com/compare/credit-cards-3,Organic Search,393,0.36,1,2584
https://example.com/products/email-marketing-4,Referral,260,0.48,7,1133
https://example.com/resources/meal-prep-5,Direct,270,0.88,0,938
https://example.com/compare/solar-panels-6,Organic Search,259,0.81,9,4158
https://example.com/guides/tax-filing-7,Organic Search,316,0.88,17,1030
https://example.com/guides/meal-prep-8-2023,Organic Social,2097,0.28,7,524
https://example.com/blog/vpn-9-2023,Referral,68,0.6,7,3874
https://example.com/help/web-hosting-10,Organic Search,173,0.37,6,4393
https://example.com/news/tax-filing-11-2024,Email,385,0.32,15,3943
https://example.com/guides/web-hosting-12,Organic Search,1463,0.72,1,410
https://example.com/resources/meal-prep-13-2023,Email,623,0.61,1,671
https://example.com/news/vpn-14-2023,Referral,345,0.9,2,4404
https://example.com/guides/solar-panels-15,Referral,334,0.21,17,2452
https://example.com/blog/tax-filing-16,Organic Search,128,0.26,13,2266
https://example.com/blog/yoga-17,Direct,42,0.46,1,2931
https://example.com/guides/home-office-18,Email,263,0.39,3,3133
https://example.com/help/meal-prep-19,Organic Social,1610,0.68,17,2712
https://example.com/blog/email-marketing-20,Organic Social,367,0.2,17,1614
https://example.com/news/email-marketing-21,Referral,105,0.6,12,4488
https://example.com/help/running-shoes-22,Referral,220,0.66,19,2745
https://example.com/blog/home-office-23,Referral,322,0.34,12,4049
https://example.com/guides/tax-filing-24,Referral,237,0.89,19,2599
https://example.com/help/meal-prep-25-2023,Direct,326,0.74,16,3969
https://example.com/guides/credit-cards-26-2024,Email,361,0.24,13,2710
https://example.com/resources/meal-prep-27-2024,Referral,2706,0.72,17,4941
https://example.com/news/home-office-28,Organic Search,389,0.26,13,1111
https://example.com/help/meal-prep-29.pdf,Direct,215,0.78,15,158
https://example.com/blog/yoga-30,Direct,358,0.32,19,938
https://example.com/help/tax-filing-31,Direct,435,0.8,19,991
https://example.com/help/running-shoes-32,Email,270,0.71,20,2212
https://example.com/help/solar-panels-33-2024,Referral,237,0.63,12,2755
https://example.com/news/yoga-34,Organic Search,97,0.37,13,4002
https://example.com/help/home-office-35-2024,Referral,283,0.44,17,2709
https://example.com/compare/meal-prep-36,Referral,141,0.88,16,4888
